id,name,coord,mmsi,heading,s_date,color,p_url
23943,MSC ALDEBARAN III,"39.901800,-75.134100",636092983,18,2023-02-04T06:30,2,https://www.econdb.com/maritime/vessel/async/636092983/
177892,CAPE DOUGLAS,"39.888900,-75.184000",366670000,176,2023-06-06T08:00,2,https://www.econdb.com/maritime/vessel/async/366670000/
83288,STAR LUSTER,"39.915800,-75.126800",258007000,345,2023-06-06T08:00,2,https://www.econdb.com/maritime/vessel/async/258007000/
50466,JAMILA,"39.916000,-75.126800",255723000,345,2022-09-30T20:00,2,https://www.econdb.com/maritime/vessel/async/255723000/
179378,AMURBORG,"39.920100,-75.137100",246263000,278,2023-06-06T08:00,2,https://www.econdb.com/maritime/vessel/async/246263000/
65544,MARBELLA CARRIER,"39.905900,-75.126500",538009565,16,2023-06-06T08:00,2,https://www.econdb.com/maritime/vessel/async/538009565/
245048,INDEPENDENCE,"39.933000,-75.141200",368066540,511,2022-12-18T17:00,11,https://www.econdb.com/maritime/vessel/async/368066540/
234832,PWD SKIMMER,"39.950200,-75.182600",338236744,511,2022-11-28T16:30,11,https://www.econdb.com/maritime/vessel/async/338236744/
236702,0,"39.933800,-75.140700",368168410,511,2023-04-03T14:30,11,https://www.econdb.com/maritime/vessel/async/368168410/
130206,RENDEZVOUS,"39.941600,-75.141000",367658980,511,2023-06-05T17:30,11,https://www.econdb.com/maritime/vessel/async/367658980/
183615,BEN FRANKLIN,"39.949000,-75.139100",367469370,511,2023-06-04T23:30,11,https://www.econdb.com/maritime/vessel/async/367469370/
13739,M/V FREEDOM,"39.944300,-75.132700",367670870,89,2023-06-06T08:00,12,https://www.econdb.com/maritime/vessel/async/367670870/
27677,SUN COAST,"39.915500,-75.124100",367029870,274,2023-06-06T03:00,11,https://www.econdb.com/maritime/vessel/async/367029870/
88688,SPIRITOFPHILADELPHIA,"39.941500,-75.140400",367148710,511,2023-06-05T17:30,12,https://www.econdb.com/maritime/vessel/async/367148710/
245635,NORTH WIND,"39.914900,-75.130700",367375160,511,2023-06-05T18:00,12,https://www.econdb.com/maritime/vessel/async/367375160/
493266,GARDENIA K,"39.932800,-75.132700",538005441,511,2023-05-30T19:00,2,https://www.econdb.com/maritime/vessel/async/538005441/
