port,country,locode,lat,lon,rank,global_trade,port_url,port_in_vessels_graph,Port_arrivals_and_departures_graph,container_trade_graph,map
Singapore,SG,SG SIN,1.27042,103.77,1,6.64,https://www.econdb.com/maritime/ports/async/SG SIN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SG SIN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SG SIN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SG SIN,https://www.econdb.com/maritime/search/?ab=1.22042%2C103.72%2C1.3204200000000001%2C103.82&center=1.27042%2C103.77
Busan,KR,KR PUS,35.1,129.033,2,3.31,https://www.econdb.com/maritime/ports/async/KR PUS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=KR PUS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=KR PUS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=KR PUS,https://www.econdb.com/maritime/search/?ab=35.050000000000004%2C128.98299999999998%2C35.15%2C129.083&center=35.1%2C129.033
Shanghai,CN,CN SHA,31.3605,121.601,3,3.12,https://www.econdb.com/maritime/ports/async/CN SHA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN SHA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN SHA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN SHA,https://www.econdb.com/maritime/search/?ab=31.310499999999998%2C121.551%2C31.4105%2C121.651&center=31.3605%2C121.601
Rotterdam,NL,NL RTM,51.9,4.48333,4,2.4,https://www.econdb.com/maritime/ports/async/NL RTM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NL RTM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NL RTM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NL RTM,https://www.econdb.com/maritime/search/?ab=51.85%2C4.43333%2C51.949999999999996%2C4.533329999999999&center=51.9%2C4.48333
Ningbo,CN,CN NGB,29.9392,121.838,5,2.31,https://www.econdb.com/maritime/ports/async/CN NGB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN NGB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN NGB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN NGB,https://www.econdb.com/maritime/search/?ab=29.8892%2C121.788%2C29.9892%2C121.88799999999999&center=29.9392%2C121.838
Tanjung Pelepas,MY,MY TPP,1.35,103.55,6,2.22,https://www.econdb.com/maritime/ports/async/MY TPP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MY TPP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MY TPP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MY TPP,https://www.econdb.com/maritime/search/?ab=1.3%2C103.5%2C1.4000000000000001%2C103.6&center=1.35%2C103.55
Jebel Ali,AE,AE JEA,25.0167,55.05,7,2.21,https://www.econdb.com/maritime/ports/async/AE JEA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AE JEA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AE JEA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AE JEA,https://www.econdb.com/maritime/search/?ab=24.9667%2C55.0%2C25.0667%2C55.099999999999994&center=25.0167%2C55.05
Kao-Hsiung,TW,TW KHH,22.6167,120.25,8,2.14,https://www.econdb.com/maritime/ports/async/TW KHH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TW KHH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TW KHH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TW KHH,https://www.econdb.com/maritime/search/?ab=22.5667%2C120.2%2C22.666700000000002%2C120.3&center=22.6167%2C120.25
Antwerp,BE,BE ANR,51.243,4.397,9,2,https://www.econdb.com/maritime/ports/async/BE ANR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=BE ANR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=BE ANR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=BE ANR,https://www.econdb.com/maritime/search/?ab=51.193000000000005%2C4.347%2C51.293%2C4.447&center=51.243%2C4.397
Hong Kong,HK,HK HKG,22.2667,114.2,10,1.94,https://www.econdb.com/maritime/ports/async/HK HKG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=HK HKG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=HK HKG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=HK HKG,https://www.econdb.com/maritime/search/?ab=22.2167%2C114.15%2C22.3167%2C114.25&center=22.2667%2C114.2
Qingdao,CN,CN TAO,36.0662,120.383,11,1.86,https://www.econdb.com/maritime/ports/async/CN TAO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN TAO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN TAO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN TAO,https://www.econdb.com/maritime/search/?ab=36.016200000000005%2C120.333%2C36.1162%2C120.43299999999999&center=36.0662%2C120.383
Port Klang,MY,MY PKG,3.021,101.357,12,1.65,https://www.econdb.com/maritime/ports/async/MY PKG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MY PKG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MY PKG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MY PKG,https://www.econdb.com/maritime/search/?ab=2.971%2C101.307%2C3.0709999999999997%2C101.407&center=3.021%2C101.357
Tanger Med,MA,MA PTM,35.867,-5.534,13,1.45,https://www.econdb.com/maritime/ports/async/MA PTM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MA PTM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MA PTM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MA PTM,https://www.econdb.com/maritime/search/?ab=35.817%2C-5.584%2C35.916999999999994%2C-5.484&center=35.867%2C-5.534
Colombo,LK,LK CMB,6.95,79.85,14,1.4,https://www.econdb.com/maritime/ports/async/LK CMB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=LK CMB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=LK CMB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=LK CMB,https://www.econdb.com/maritime/search/?ab=6.9%2C79.8%2C7.0%2C79.89999999999999&center=6.95%2C79.85
Port Said,EG,EG PSD,31.2098,32.3557,15,1.4,https://www.econdb.com/maritime/ports/async/EG PSD/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=EG PSD,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=EG PSD,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=EG PSD,https://www.econdb.com/maritime/search/?ab=31.1598%2C32.3057%2C31.259800000000002%2C32.405699999999996&center=31.2098%2C32.3557
Shekou,CN,CN SHK,22.4667,113.867,16,1.37,https://www.econdb.com/maritime/ports/async/CN SHK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN SHK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN SHK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN SHK,https://www.econdb.com/maritime/search/?ab=22.4167%2C113.81700000000001%2C22.5167%2C113.917&center=22.4667%2C113.867
Yantian Shenzhen,CN,CN YTN,22.5833,114.267,17,1.29,https://www.econdb.com/maritime/ports/async/CN YTN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN YTN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN YTN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN YTN,https://www.econdb.com/maritime/search/?ab=22.5333%2C114.217%2C22.633300000000002%2C114.317&center=22.5833%2C114.267
